id,auto_number,auto_brand,compensated,fines
120,M058XE36RUS,Skoda Octavia,2,8500
121,7830C8197RUS,Ford Focus,1,5100
122,8166XX154RUS,Ford Focus,1,2400
123,M589CH197RUS,Volkswagen,2,7900
124,9408H7178RUS,Skoda Octavia,1,1000
125,H387TM197RUS,Volkswagen Passat,2,1600
126,8049HT125RUS,Ford Focus,1,500
127,X015HY197RUS,Toyota Corolla,2,16000
128,T769OT197RUS,Volkswagen Golf,2,30900
129,9698MO178RUS,Volkswagen Golf,2,18400
130,8685HE154RUS,Ford Focus,1,1000
131,O83697197RUS,Ford Focus,2,6100
132,7177TT36RUS,Ford Focus,1,1000
133,O77997197RUS,Ford Focus,1,22400
134,X242EC197RUS,Volkswagen Golf,1,10600
135,Y234E877RUS,Ford Focus,1,500
136,K357YE77RUS,Volkswagen Golf,1,5000
137,97987H178RUS,Ford Focus,2,5000
138,X257HE161RUS,Ford Focus,2,10000
139,T479KX197RUS,Ford Focus,1,12000
140,T399KX197RUS,Ford Focus,2,10200
141,H957HY161RUS,Ford Focus,1,2000
142,K379HY161RUS,Volkswagen Golf,1,200
143,T654HT96RUS,Toyota Corolla,1,4000
144,E41977152RUS,Ford Focus,2,2400
145,8439XX154RUS,Ford Focus,2,4600
146,7194TT36RUS,Ford Focus,1,2300
147,Y965EE197RUS,Ford Focus,2,9600
148,X758HY197RUS,Ford Focus,2,24200
149,9464EX178RUS,Ford Focus,1,2100
150,M0279X197RUS,Ford Focus,2,180000
151,H224X836RUS,Ford Focus,1,3500
152,E6849O154RUS,Volkswagen Golf,1,200
153,Y273O8197RUS,Ford Focus,2,26300
154,O83797197RUS,Ford Focus,2,75900
155,7368C8197RUS,Ford Focus,1,4400
156,Y194O8161RUS,Ford Focus,1,900
157,H427YH197RUS,Volkswagen Passat,2,29700
158,9583EY178RUS,Ford Focus,2,4300
159,K376HE161RUS,Ford Focus,1,100
160,Y038E877RUS,Ford Focus,2,6500
161,9822H8161RUS,Ford Focus,1,100
162,7826C8197RUS,Ford Focus,2,3600
163,9467EX178RUS,Ford Focus,2,3700
164,E160YX77RUS,Ford Focus,2,2200
165,82337X197RUS,Ford Focus,2,2100
166,X757HY197RUS,Ford Focus,2,6800
167,X765HY197RUS,Ford Focus,2,13900
168,934497178RUS,Skoda Octavia,2,1900
169,T195OK161RUS,Ford Mondeo,2,6700
170,E41977152RUS,Ford Focus,1,2400
171,K2807K154RUS,Ford Focus,1,1000
172,T8008Y125RUS,Ford Focus,2,1000
173,9463EX178RUS,Ford Focus,2,1400
174,X765HY197RUS,Ford Focus,2,27800
175,Y960EE197RUS,Skoda Octavia,1,9000
176,7840C8197RUS,Ford Focus,2,7000
177,K846YE77RUS,Volkswagen Passat,2,2000
178,E40577152RUS,Ford Focus,1,500
179,7827C8197RUS,Ford Focus,1,7500
180,T394KX197RUS,Ford Focus,1,1500
181,Y655E8750RUS,Skoda Octavia,2,5200
182,H003MH197RUS,Ford Focus,2,2900
183,705787163RUS,Ford Focus,1,100
184,Y7699C197RUS,Ford Focus,2,15800
185,Y6829Y50RUS,Ford Focus,1,500
186,Y358O8197RUS,Ford Focus,2,21800
187,Y8399C197RUS,Ford Focus,2,1800
188,9135X938RUS,Ford Focus,2,4400
189,T654HT96RUS,Toyota Corolla,2,2000
190,H385TM197RUS,Volkswagen Passat,1,9500
191,M0299X197RUS,Ford Focus,2,9600
192,9428EX178RUS,Ford Focus,1,1000
193,H837YK197RUS,Audi,2,4200
194,O83597197RUS,Ford Focus,2,4000
195,E42577152RUS,Ford Focus,2,3700
196,E53277152RUS,Ford Focus,1,1000
197,98017H178RUS,Ford Focus,1,1500
198,K329T8197RUS,Skoda Octavia,2,13000
199,C476M7161RUS,Ford Focus,2,1500
200,9943KK197RUS,Ford Focus,2,29700
201,9679EC178RUS,Ford Focus,2,500
202,8165XX154RUS,Ford Focus,1,4900
203,T476KX197RUS,Ford Focus,1,1500
204,X242EC197RUS,Volkswagen Golf,2,10600
205,C422X938RUS,Ford Focus,2,10500
206,K328T8197RUS,Volkswagen Golf,1,300
207,9466EX178RUS,Ford Focus,2,800
208,X256HE161RUS,Ford Focus,1,2400
209,Y275O8197RUS,Ford Focus,1,3000
210,H218X836RUS,Ford Focus,2,17500
211,X255HE161RUS,Ford Focus,1,400
212,7370C8197RUS,Ford Focus,2,5000
213,M373CH197RUS,Ford Focus,2,6600
214,O02397197RUS,Volkswagen Jetta,1,4000
215,8165XX154RUS,Ford Focus,2,4200
216,E432XX77RUS,Toyota Camry,2,13000
217,7830C8197RUS,Ford Focus,2,10200
218,H217X836RUS,Ford Focus,1,2000
219,Y316E877RUS,Ford Focus,2,7000
220,934497178RUS,Skoda Octavia,1,3800
221,O77997197RUS,Ford Focus,2,5600
222,8601XX154RUS,Skoda Octavia,1,1300
223,M375CH197RUS,Ford Focus,2,18100
224,Y4298M777RUS,Skoda Octavia,1,2000
225,C420X938RUS,Ford Focus,1,3300
226,O22297197RUS,Ford Focus,1,500
227,M741T9152RUS,Ford Focus,2,1000
228,9883HX152RUS,Ford Focus,2,1000
229,Y6829Y50RUS,Ford Focus,1,500
230,H004MH197RUS,Ford Focus,1,39600
231,E53677152RUS,Ford Focus,2,5500
232,704987163RUS,Ford Focus,2,1800
233,E160YX77RUS,Ford Focus,2,1100
234,E316EH197RUS,Volkswagen,1,1300
235,X758HY197RUS,Ford Focus,2,72600
236,T6419O50RUS,Ford Focus,2,9000
237,O22297197RUS,Ford Focus,1,500
238,O02597197RUS,Ford Focus,1,800
239,H963HY161RUS,Ford Focus,1,1400
240,X015HY197RUS,Toyota Corolla,2,16000
241,M6977E152RUS,Ford Focus,2,500
242,96907X197RUS,BMW,1,3000
243,X761HY197RUS,Ford Focus,2,18300
244,9938OH154RUS,Skoda Octavia,1,500
245,T769OT197RUS,Volkswagen Golf,2,30900
246,Y778EE197RUS,Volkswagen Golf,1,24000
247,7829C8197RUS,Ford Focus,2,1800
248,T6488M116RUS,Ford Focus,2,21000
249,T272HH163RUS,Ford Focus,1,1000
250,T018OX197RUS,Toyota Corolla,2,3400
251,Y255E877RUS,Ford Focus,1,2500
252,9182CE154RUS,Ford Focus,2,13200
253,O753MX161RUS,Ford Focus,1,700
254,9697MO178RUS,Volkswagen Golf,1,1000
255,C477M7161RUS,Ford Focus,2,5000
256,T686EO197RUS,Toyota Camry,1,500
257,O017KO197RUS,Ford Focus,2,1600
258,C590EY154RUS,Ford Focus,2,3500
259,T941CC96RUS,Ford Focus,1,2000
260,O22397197RUS,Ford Focus,2,55500
261,X242EC197RUS,Volkswagen Golf,2,10600
262,T020OX197RUS,Toyota Corolla,1,34300
263,E33577152RUS,Ford Focus,2,2000
264,7197TT36RUS,Ford Focus,2,6800
265,Y973O8197RUS,Ford Focus,1,34800
266,E773EH197RUS,Ford Focus,2,6800
267,T6428M116RUS,Ford Focus,2,6000
268,Y7129Y50RUS,Ford Focus,2,32000
269,Y418EX197RUS,Volkswagen Passat,2,900
270,Y7689C197RUS,Ford Focus,1,27000
271,7066C8197RUS,Volkswagen Passat,1,3000
272,X796TH96RUS,Ford Focus,1,500
273,E52877152RUS,Ford Focus,1,1500
274,7369C8197RUS,Ford Focus,2,20200
275,9409H7178RUS,Skoda Octavia,2,3000
276,Y166O8161RUS,Ford Focus,1,100
277,705287163RUS,Ford Focus,2,2000
278,K559KC161RUS,Ford Focus,1,100
279,M0299X197RUS,Ford Focus,2,67200
280,8164XX154RUS,Ford Focus,2,4400
281,92928M178RUS,Ford Focus,1,600
282,9822H8161RUS,Ford Focus,1,200
283,8603T8154RUS,Ford Focus,1,3000
284,84418C154RUS,Ford Focus,1,3000
285,Y965O8197RUS,Ford Focus,1,1600
286,E53488152RUS,Ford Focus,2,1800
287,9697MO178RUS,Volkswagen Golf,1,500
288,M256OH161RUS,Ford Focus,2,1600
289,Y7709C197RUS,Ford Focus,1,1500
290,E53277152RUS,Ford Focus,1,500
291,8201XX154RUS,Ford Focus,1,2600
292,90159H178RUS,Volkswagen Passat,2,600
293,C798ET50RUS,Ford Focus,1,10000
294,Y193O8161RUS,Ford Focus,2,600
295,7248C8197RUS,Ford Mondeo,2,8600
296,Y275O8197RUS,Ford Focus,1,6000
297,K357YE77RUS,Volkswagen Golf,1,5000
298,9697MO178RUS,Volkswagen Golf,1,500
299,Y187O8161RUS,Ford Focus,1,400
300,E0697X152RUS,Skoda Octavia,1,2000
301,M373CH197RUS,Ford Focus,2,6600
302,H982HY161RUS,Ford Focus,1,300
303,8610T8154RUS,Ford Focus,1,2000
304,E40877152RUS,Ford Focus,1,1000
305,K899T8197RUS,Ford Focus,1,15400
306,O83697197RUS,Ford Focus,1,6100
307,Y351O8197RUS,Ford Focus,1,1500
308,9941KK197RUS,Ford Focus,1,800
309,Y356O8197RUS,Ford Focus,2,45900
310,T914CT197RUS,Toyota Camry,2,7200
311,O6939X163RUS,Ford Focus,1,7200
312,Y7649C197RUS,Ford Focus,2,5300
313,M374CH197RUS,Ford Focus,2,5500
314,9935TE152RUS,Ford Focus,2,2500
315,704687163RUS,Ford Focus,2,1400
316,X523OM161RUS,Ford Focus,1,400
317,T6559O50RUS,Ford Focus,2,4000
318,7197TT36RUS,Ford Focus,2,6800
319,X765HY197RUS,Ford Focus,2,41700
320,96857X197RUS,Skoda Octavia,2,18900
321,M581CH197RUS,Ford Focus,1,100
322,H963HY161RUS,Ford Focus,1,1400
323,M302CH161RUS,Ford Focus,1,500
324,H115YO163RUS,Ford Focus,1,1100
325,9679EC178RUS,Ford Focus,1,500
326,O143HO197RUS,Toyota Corolla,2,30300
327,K436MO152RUS,Ford Focus,1,1500
328,9938OH154RUS,Skoda Octavia,1,500
329,E34877152RUS,Ford Focus,2,6100
330,E5878M777RUS,Skoda Octavia,1,8500
331,E33577152RUS,Ford Focus,1,1000
332,7147OE161RUS,Ford Focus,1,500
333,7844C8197RUS,Ford Focus,2,34000
334,X257HE161RUS,Ford Focus,2,5000
335,C584EY154RUS,Ford Focus,1,500
336,C584EY154RUS,Ford Focus,1,500
337,H214X836RUS,Ford Focus,2,8000
338,Y4298M777RUS,Skoda Octavia,1,2000
339,E28977161RUS,Ford Focus,2,1500
340,H908YK197RUS,Ford Focus,1,4800
341,T016OX197RUS,Toyota Corolla,2,3200
342,8166XX154RUS,Ford Focus,1,600
343,7363C8197RUS,Ford Focus,2,1600
344,Y357O8197RUS,Ford Focus,2,2200
345,T6039O50RUS,Ford Focus,2,1500
346,7365C8197RUS,Ford Focus,1,2300
347,Y967O8197RUS,Ford Focus,1,4000
348,E816HE77RUS,Ford Focus,1,3000
349,T6329O50RUS,Ford Focus,1,500
350,X504X8197RUS,Skoda Octavia,1,12600
351,M581CH197RUS,Ford Focus,1,200
352,M374CH197RUS,Ford Focus,2,5500
353,X523OM161RUS,Ford Focus,2,800
354,9470EX178RUS,Ford Focus,1,500
355,C412X938RUS,Ford Focus,1,1000
356,7831C8197RUS,Ford Focus,2,3400
357,8164XX154RUS,Ford Focus,2,4400
358,H004MH197RUS,Ford Focus,2,9900
359,X015HY197RUS,Toyota Corolla,2,24000
360,Y652O8197RUS,Volkswagen Touareg,2,5800
361,E53477152RUS,Ford Focus,2,7200
362,T6419O50RUS,Ford Focus,2,9000
363,E822TH36RUS,Ford Focus,2,12900
364,8437XX154RUS,Ford Focus,1,1600
365,E445TC197RUS,Ford Focus,1,3400
366,C515X938RUS,Ford Focus,1,1900
367,7172TT36RUS,Ford Focus,2,5700
368,8436XX154RUS,Ford Focus,1,800
369,E79988152RUS,Ford Focus,1,500
370,8180XX154RUS,Ford Focus,1,2800
371,9499KX178RUS,Ford Focus,2,2300
372,84438C154RUS,Ford Focus,2,3800
373,T6309O50RUS,Ford Focus,2,24000
374,9594HY161RUS,Ford Focus,1,300
375,T6129O50RUS,Ford Focus,2,6000
376,K339T8197RUS,Ford Focus,2,19200
377,8685HE154RUS,Ford Focus,1,2000
378,72457Y96RUS,Ford Focus,2,900
379,Y7449Y50RUS,Ford Focus,2,8000
380,K899T8197RUS,Ford Focus,2,15400
381,O017KO197RUS,Ford Focus,2,800
382,X782CO96RUS,Ford Focus,1,1000
383,E591HE77RUS,Ford Focus,2,6000
384,89587X197RUS,Toyota Camry,1,4400
385,Y7659C197RUS,Ford Focus,1,1500
386,9499KX178RUS,Ford Focus,1,2300
387,M581CH197RUS,Ford Focus,1,100
388,8437XX154RUS,Ford Focus,1,800
389,Y357O8197RUS,Ford Focus,1,2200
390,X760HY197RUS,Ford Focus,2,10100
391,O058M7161RUS,Ford Focus,2,1900
392,X767HY197RUS,Ford Focus,2,18000
393,H220X836RUS,Ford Focus,1,7000
394,92788M178RUS,Ford Focus,1,1200
395,H218X836RUS,Ford Focus,2,17500
396,T913CT197RUS,Toyota Camry,1,7900
397,T6439O50RUS,Ford Focus,2,16500
398,7784KT197RUS,Ford Focus,2,13200
399,X286TC36RUS,Ford Focus,2,500
400,O752MX161RUS,Ford Focus,1,1300
401,9137X938RUS,Ford Focus,2,1600
402,Y7719C197RUS,Ford Focus,2,4600
403,Y7449Y50RUS,Ford Focus,1,8000
404,H115YO163RUS,Ford Focus,2,1100
405,8818C877RUS,Volkswagen Passat,2,10000
406,7064C8197RUS,Volkswagen Passat,2,12800
407,92828M178RUS,Ford Focus,1,300
408,Y650E8750RUS,Skoda Octavia,1,500
409,X782CO96RUS,Ford Focus,1,1000
410,X767HY197RUS,Ford Focus,2,36000
411,9498KX178RUS,Ford Focus,2,800
412,83298C154RUS,Ford Focus,1,100
413,8321XX154RUS,Ford Focus,1,100
414,8316XX154RUS,Ford Focus,1,2200
415,T017OX197RUS,Toyota Corolla,2,12700
416,H977HY161RUS,Ford Focus,1,600
417,7788KT197RUS,Ford Focus,2,8000
418,X522OM161RUS,Ford Focus,1,1500
419,Y8399C197RUS,Ford Focus,1,600
420,O085E8197RUS,Volkswagen Golf,1,300
421,8166XX154RUS,Ford Focus,1,600
422,705387163RUS,Ford Focus,2,700
423,O017KO197RUS,Ford Focus,1,800
424,X4138H125RUS,Ford Focus,1,300
425,8441XX154RUS,Ford Focus,1,500
426,M0269X197RUS,Ford Focus,2,10300
427,7781KT197RUS,Ford Focus,1,1200
428,9683EC178RUS,Ford Focus,1,6500
429,T483CT96RUS,Ford Focus,1,500
430,T940CC96RUS,Ford Focus,2,1500
431,C58078163RUS,Ford Focus,1,100
432,O02397197RUS,Volkswagen Jetta,1,4000
433,T018OX197RUS,Toyota Corolla,2,6800
434,H963HY161RUS,Ford Focus,1,1400
435,8611T8154RUS,Ford Focus,2,2000
436,C583EY154RUS,Ford Focus,1,1000
437,9942KK197RUS,Ford Focus,1,3100
438,83218C154RUS,Ford Focus,1,100
439,704787163RUS,Ford Focus,2,2800
440,E53488152RUS,Ford Focus,2,3600
441,Y7129Y50RUS,Ford Focus,1,16000
442,C313MM99RUS,Toyota Camry,1,7500
443,8611T8154RUS,Ford Focus,1,1000
444,X763HY197RUS,Ford Focus,2,9500
445,M386M9197RUS,Volkswagen Golf,2,5800
446,8605T8154RUS,Ford Focus,1,1000
447,O22297197RUS,Ford Focus,1,500
448,7147OE161RUS,Ford Focus,1,500
449,O134HE197RUS,Ford Focus,2,7600
450,96429X178RUS,Ford Focus,1,1300
451,Y7379Y50RUS,Ford Focus,2,2000
452,K326T8197RUS,Volkswagen Passat,1,100
453,H982HY161RUS,Ford Focus,1,300
454,Y344E877RUS,Ford Focus,1,1000
455,7361C8197RUS,Ford Focus,1,1600
456,Y359EY197RUS,Skoda Octavia,2,3000
457,T6559O50RUS,Ford Focus,1,4000
458,X759HY197RUS,Ford Focus,2,12500
459,E53277152RUS,Ford Focus,1,500
460,X015HY197RUS,Toyota Corolla,1,8000
461,E552MO152RUS,Ford Focus,1,500
462,9469EX178RUS,Ford Focus,2,2100
463,Y6839Y50RUS,Ford Focus,2,3000
464,H237YH197RUS,Ford Focus,1,600
465,T948OM96RUS,Ford Focus,1,2000
466,T395KX197RUS,Ford Focus,2,15200
467,M301CH161RUS,Ford Focus,1,8000
468,M581CH197RUS,Ford Focus,1,100
469,E79988152RUS,Ford Focus,1,1500
470,9496KX178RUS,Ford Focus,1,500
471,9488EY178RUS,Ford Focus,1,1300
472,T6319O50RUS,Ford Focus,2,6500
473,H305T8197RUS,Ford Focus,1,28100
474,8201XX154RUS,Ford Focus,2,2600
475,O64297197RUS,Ford Focus,1,300
476,9523M8178RUS,Skoda Octavia,1,600
477,Y273O8197RUS,Ford Focus,2,52600
478,T6229O50RUS,Ford Focus,2,2500
479,9943KK197RUS,Ford Focus,2,19800
480,X023HY197RUS,Volvo,2,10200
481,8226XX154RUS,Ford Focus,2,1000
482,Y038TO197RUS,Toyota Corolla,1,7600
483,M0289X197RUS,Ford Focus,2,40600
484,E811HE77RUS,Ford Focus,2,7000
485,O785T9163RUS,Ford Focus,1,500
486,X795O796RUS,Ford Focus,1,2000
487,O39997197RUS,Ford Focus,1,9000
488,97968K152RUS,Ford Focus,2,500
489,K339T8197RUS,Ford Focus,2,57600
490,9943OH154RUS,Skoda Octavia,1,400
491,H219X836RUS,Ford Focus,1,1600
492,X782CO96RUS,Ford Focus,1,1000
493,T6169O50RUS,Ford Focus,1,500
494,Y352O8197RUS,Ford Focus,2,25900
495,Y8399C197RUS,Ford Focus,1,600
496,T940CC96RUS,Ford Focus,1,500
497,94178K154RUS,Ford Focus,1,500
498,7365C8197RUS,Ford Focus,2,6900
499,9467EX178RUS,Ford Focus,2,3700
500,O78097197RUS,Ford Focus,2,1400
501,X5707X161RUS,Volkswagen Passat,2,500
502,Y232E877RUS,Ford Focus,2,5000
503,Y388E877RUS,Ford Focus,2,19000
504,X255HE161RUS,Ford Focus,1,400
505,E552MO152RUS,Ford Focus,1,500
506,97998K152RUS,Ford Focus,2,6300
507,Y963O8197RUS,Ford Focus,2,21600
508,Y778EE197RUS,Volkswagen Golf,2,168000
509,T654HT96RUS,Toyota Corolla,2,2000
510,T477KX197RUS,Ford Focus,2,94000
511,T2639T116RUS,Ford Focus,1,3000
512,O49797197RUS,Ford Focus,2,5300
513,708187163RUS,Ford Focus,2,1000
514,O83597197RUS,Ford Focus,2,8000
515,8601XX154RUS,Skoda Octavia,2,3900
516,H387TM197RUS,Volkswagen Passat,2,3200
517,O68897197RUS,Ford Focus,1,8200
518,72457Y96RUS,Ford Focus,1,900
519,7064C8197RUS,Volkswagen Passat,1,12800
520,E948C8152RUS,Ford Focus,2,6000
521,C514X938RUS,Ford Focus,2,2700
522,C589EY154RUS,Ford Focus,1,4500
523,C420X938RUS,Ford Focus,1,3300
524,K899T8197RUS,Ford Focus,2,15400
525,T6418M116RUS,Ford Focus,2,24600
526,8607XX154RUS,Skoda Octavia,2,2400
527,92778M178RUS,Ford Focus,2,3000
528,C476M7161RUS,Ford Focus,2,500
529,T288CT96RUS,Ford Focus,1,4500
530,9679EC178RUS,Ford Focus,1,500
531,9886HX152RUS,Ford Focus,2,2900
532,C583EY154RUS,Ford Focus,1,1000
533,7788KT197RUS,Ford Focus,1,20000
534,T016OX197RUS,Toyota Corolla,2,9600
535,T6419O50RUS,Ford Focus,2,27000
536,C592EY154RUS,Ford Focus,1,1000
537,T6459O50RUS,Ford Focus,1,2000
538,Y356O8197RUS,Ford Focus,2,30600
539,X759HY197RUS,Ford Focus,2,12500
540,705787163RUS,Ford Focus,1,100
541,96429X178RUS,Ford Focus,2,1300
542,Y973O8197RUS,Ford Focus,1,69600
543,92898M178RUS,Ford Focus,1,1600
544,9671EC178RUS,Ford Focus,1,600
545,M302CH161RUS,Ford Focus,1,500
546,X023HY197RUS,Volvo,2,6800
547,M578CH197RUS,Ford Focus,2,9000
548,O77997197RUS,Ford Focus,2,5600
549,7368C8197RUS,Ford Focus,2,8800
550,9683EC178RUS,Ford Focus,2,6500
551,Y207O8161RUS,Ford Focus,1,500
552,96659X178RUS,Ford Focus,1,2700
553,T912CT197RUS,Toyota Camry,2,19800
554,M256OH161RUS,Ford Focus,1,1600
555,7183TT36RUS,Ford Focus,2,16200
556,89557X197RUS,Toyota Camry,2,22400
557,E773EH197RUS,Ford Focus,2,6800
558,Y359O8197RUS,Ford Focus,1,2000
559,K2817K154RUS,Ford Focus,1,4500
560,O017KO197RUS,Ford Focus,1,1600
561,E396MO152RUS,Ford Focus,2,3000
562,X758HY197RUS,Ford Focus,2,145200
563,X795O796RUS,Ford Focus,1,1000
564,Y964O8197RUS,Ford Focus,1,1000
565,H967HY161RUS,Ford Focus,2,4500
566,E394MO152RUS,Ford Focus,2,10500
567,O50699163RUS,Ford Focus,1,1100
568,9463EX178RUS,Ford Focus,1,1400
569,E53677152RUS,Ford Focus,2,5500
570,E33177152RUS,Ford Focus,2,7100
571,K338T8197RUS,Ford Focus,2,17400
572,O22097197RUS,Ford Focus,2,24300
573,Y4298M777RUS,Skoda Octavia,2,2000
574,Y687HM197RUS,BMW,1,600
575,8311XX154RUS,Ford Focus,2,4300
576,98037H178RUS,Ford Focus,2,2500
577,7828C8197RUS,Ford Focus,2,6700
578,H980HY161RUS,Ford Focus,2,1800
579,Y305E877RUS,Ford Focus,1,2500
580,8521XX154RUS,Ford Focus,2,1000
581,H906YK197RUS,Ford Focus,1,12000
582,7199MT197RUS,Volkswagen Golf,1,9300
583,X908XC197RUS,Volkswagen Jetta,2,46000
584,T171CC96RUS,Ford Focus,2,2000
585,X4108H125RUS,Ford Focus,2,1300
586,Y966O8197RUS,Ford Focus,2,10400
587,K2797K154RUS,Ford Focus,2,2400
588,X286TC36RUS,Ford Focus,1,500
589,7089H8163RUS,Toyota Corolla,2,4400
590,9883HX152RUS,Ford Focus,1,500
591,7841C8197RUS,Ford Focus,1,12000
592,9940KK197RUS,Ford Focus,1,1600
593,H224X836RUS,Ford Focus,2,7000
594,9028CO161RUS,Ford Focus,2,1500
595,H971HY161RUS,Ford Focus,2,7400
596,8610T8154RUS,Ford Focus,1,2000
597,M0269X197RUS,Ford Focus,2,20600
598,E316EH197RUS,Volkswagen Touareg,1,1300
599,T6359O50RUS,Ford Focus,2,13500
600,X257HE161RUS,Ford Focus,1,5000
601,H844YH197RUS,Ford Focus,2,3000
602,9523M8178RUS,Skoda Octavia,2,300
603,Y195O8161RUS,Ford Focus,2,100
604,9137X938RUS,Ford Focus,1,1600
605,E33477152RUS,Ford Focus,1,500
606,Y156E877RUS,Ford Focus,2,7500
607,E396MO152RUS,Ford Focus,2,3000
608,9939KK197RUS,Ford Focus,1,1600
609,E0697X152RUS,Skoda Octavia,2,2000
